Estay  ,Peñaloza,Abraham  Enrique ,Abraham Estay,44,,,,,,María Fernanda Estay Cuevas; María Alejandra Estay Cuevas; José Enrique Estay Cuevas; Bárbara Isabel Estay Cuevas; Antonia Catalina Estay Cuevas;,,,,,,
Farías  ,Ponce,Ramón Alberto ,Ramón Farías,44,,,,,,Rosario Farías Vidal; Diego Farías Vidal;,,,,,,
García   ,García,René Manuel ,René García,44,,,,,,,,,,,,
Kort  ,Garriga,Issa Farid ,Issa Kort,44,,,,,,,,,,,,
Girardi  ,Lavín,Cristina  ,Cristina Girardi,44,,,,Guido Girardi Brière,Rosa Eugenia Lavín Araya,Benjamín; Crescente; Emiliano; ,,,,Treviso Girardi, Guido Girardi Lavín; Dino Girardi Lavín;,
Godoy  ,Ibáñez,Joaquín  ,Joaquín Godoy,44,,,,Domingo Godoy Matte; Iván Moreira,Carmen Ibañez Soto,,,,,Arturo Ibáñez Ceza; Eliana del Carmen Soto Klauss,María Luisa Godoy Ibáñez,
Goic  ,Boroevic,Carolina  ,Carolina Goic,44,,,,Pedro Goic Karmelic ,Mary Boroevic Yutronic. ,Catalina Miranda Goic; Alejandra Miranda Goic;,Alejandro Goic,,,,,
González  ,Torres,René Rodrigo ,René González,44,,,,,,,,,,,,
Gutiérrez  ,Gálvez,Hugo Humberto ,Hugo Gutiérrez,44,,,,,,Paloma Gutierrez Barrera; Ramiro Gutierrez Barrera; Alondra Gutierrez Barrera; Manuela Gutierrez Barrera; Pedro Gutierrez Barrera;,,,,,,
Gutiérrez  ,Pino,Romilio  ,Romilio Gutiérrez,44,,,,,,,,,,,,
Hales  ,Dib,Patricio Alejandro ,Patricio Hales,44,,,, Alejandro Hales Jamarne,Adela Dib ,Teresa Hales; Antonio Hales;,,,,,,
Harboe  ,Bascuñán,Felipe  ,Felipe Harboe Bascuñán,44,,,,,,,,,,,,
Hasbún  ,Selume,Gustavo Adolfo ,Gustavo Hasbún,44,,,,Enrique Hasbún, Carmen Selume. ,Diego Hasbún; Benjamin Habún;,,,,,,
Hernández  ,Hernández,Javier Ricardo ,Javier Hernández,44,,,,,,Roberto Javier Hernández; María Fernanda Hernández; María Javiera Hernández; Ignacio José Hernández; Matías Humberto Hernández; Benjamín Alberto Hernández;,,,,,,
Hoffmann   ,Opazo,María José ,María José Hoffmann   ,44,,,,,,Matías Müller Hoffmann; Clarita Müller Hoffmann; Diego Müller Hoffmann;,,,,,,
Isasi  ,Barbieri,Marta Eliana ,Marta Isasi,44,,,,,,Divna Snezana Gospodja; Ljubinka y Diannella;,,,,,,
Jaramillo  ,Becker,Enrique  ,Enrique Jaramillo,44,,,,,,Enrique Jaramillo Astudillo; Jaime Jaramillo Astudillo; Jorge Jaramillo Astudillo;,,,,,,
Jarpa   ,Wevar,Carlos Abel ,Carlos Jarpa,44,,,,Abel Jarpa Vallejos,Matilde Wevar ,Matías Jarpa Concha; Julieta Jarpa Concha; Tomás Jarpa Concha;,,,,,,
Jiménez  ,Fuentes,Tucapel  ,Tucapel Jiménez,44,,,,Tucapel Jiménez Alfaro,Haydee Fuentes Salinas,Tucapel Jiménez Lagos; Sebastián Jiménez Lagos; Susan Jiménez Lagos;,,,,,,
Kast   ,Rist,José Antonio ,José Antonio Kast,44,,,,Miguel Kast Schindler,Olga Rist,Josefina Kast Adriasola; José Antonio Kast Adriasola;  María Pía Kast Adriasola;  Nicolás, Matías Kast Adriasola; Trinidad Kast Adriasola; Agustín Kast Adriasola; María Isabel Kast Adriasola; Benjamín Kast Adriasola;,,,,,,
Latorre   ,Carmona,Juan Carlos ,Juan Carlos Latorre,44,,,,Carlos Latorre Offermanns ,Teresa Carmona,,,,,,,
Lemus  ,Aracena,Luis Segundo ,Luis Lemus,44,,,,Luis Antonio Lemus Robles ,Rosa Ermelina Aracena Aracena ,Luis Felipe Lemus Cortés; Fernando Lemus Cortés; Fernanda Lemus Rivadeneira; Rocio Lemus Nilo;,,,,,,
León  ,Ramírez,Roberto Eduardo ,Roberto León,44,,,,,,,,,,,,
Rosales  ,Guzmán,Flaminio  Joel  ,Flaminio Rosales,44,,,,,,,,,,,,
Lorenzini  ,Basso,Pablo  ,Pablo Lorenzini,44,,,,Emilio Lorenzini Gratwohl,Leticia Basso Basso,,,,,,,
Macaya  ,Danús,Javier Ignacio ,Javier Macaya,44,,,,,,León Macaya Farías; Raimundo Macaya Farías;,,,,,,
Marinovic  ,Solo de Zaldívar,Miodrag Arturo ,Miodrag Marinovic,44,,,,Miodrag Marinovic,Victoria Solo de Zaldívar,Constanza Marinovic; Miodrag Marinovic;,,,,,,
Martínez  ,Labbé,Rosauro  ,Rosauro Martínez,44,,,,,,Bárbara Martínez Ramírez; Nicolás Martínez Ramírez; Cristóbal Martínez Ramírez;  Rosauro Martínez Ramírez; ,,,,,,
Melero  ,Abaroa,Patricio  ,Patricio Melero,44,,,,Manuel Melero Rodríguez,Beatriz Abaroa Layda,Sebastián Melero Donoso; Patricio Melero Donoso;,,,,,,
Meza  ,Moncada,Fernando  ,Fernando Meza,44,,,,Esteban Meza,Margarita Moncada,María Antonieta Meza Marqués; Fernando Esteban Meza Marqués;,,,,,,
Molina  ,Oliva,Andrea  ,Andrea Molina,44,,,,,,Noelia Kleinfercher Molina;Laura Rojas Molina;,,,,,,
Monckeberg  ,Bruner,Cristián  ,Cristián Monckeberg Bruner,44,,,,Jorge Monckeberg Barros,Paulina Bruner Varas,Camila Monckeberg Guzmán; Jorge Monckeberg Guzmán; Esteban Monckeberg Guzmán; ,Gustavo Monckeberg Barros,,Nicolás Monckeberg Díaz,,,
Monckeberg  ,Díaz,Nicolás  ,Nicolás Monckeberg Díaz,44,,,,Manuel José Mönckeberg Balmaceda,Margarita Díaz Herrera,,Gerardo Monckeberg Balmaceda; Fernando Monckeberg Barros; Jorge Monckeberg Barros; Alicia Monckeberg Barros; ,,Cristian Monckeberg Bruner. ,Gustavo Monckeberg Barros,,
Monsalve  ,Benavides,Manuel  ,Manuel Monsalve,44,,,,,,Amanda Sofía Monsalve Garrido; Carmen Gabriela Monsalve Garrido;,,,,,,
Montes  ,Cisternas,Carlos  ,Carlos Montes,44,,,,,,,,,,,,
Morales  ,Muñoz,Celso René ,Celso Morales,44,,,,Jorge Morales,Blanca Muñoz,Camila Morales Sazo;,,,,,,
Moreira  ,Barros,Iván Alejandro ,Iván Moreira,44,,,,,,,,,,,,
Muñoz  ,D'Albora,Adriana  ,Adriana Muñoz,44,,,,Roberto Muñoz,,Amilcar Veneciano Muñoz;,,,,,,
Nogueira  ,Fernández,Claudia  ,Claudia Nogueira,44,,,,,,Gonzalo Alberto Andrés Cornejo Nogueira; Elisa María Candelaria Cornejo Nogueira,,,,,,
Norambuena  ,Farías,Iván  ,Iván Norambuena,44,,,,,,Andrés Felipe Norambuena Yung; Sebastián Norambuena Yung;  Benjamín Norambuena Yung;  Juan Pablo Norambuena Yung; José Tomás Norambuena Yung; ,,,,,,
